brood_id,period_start,rec_count,n_samples,00.0-05.5_n_samples,06.0-08.5_n_samples,09.0-11.5_n_samples,12.0-14.5_n_samples,15.0-30.0_n_samples,00.0-05.5,06.0-08.5,09.0-11.5,12.0-14.5,15.0-30.0,class
1_6_1_22,2022-06-05,1,2,0,0,0,0,2,0,0,0,0,1,15.0-30.0
8_1_1_23,2023-06-11,1,2,1,0,0,0,1,1,0,0,0,0,00.0-05.5
